kev,photons
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,5594.029
11,17216.2
12,52695.67
13,127425.6
14,272567.7
15,488776.7
16,782632.2
17,1133365
18,1522248
19,1939559
20,2365610
21,2785843
22,3187091
23,3557103
24,3891227
25,4172874
26,4430960
27,4642292
28,4816482
29,4951296
30,5044621
31,5114992
32,5150988
33,5168046
34,5168411
35,5141528
36,5090126
37,5036160
38,4969499
39,4889555
40,4800795
41,4710622
42,4612721
43,4510409
44,4406243
45,4298309
46,4190362
47,4080786
48,3970206
49,3861568
50,3752468
51,3644359
52,3537316
53,3431998
54,3328533
55,3226129
56,3125982
57,3025784
58,7055127
59,10008930
60,2741612
61,2649949
62,2561484
63,2473498
64,2388896
65,2304543
66,2223924
67,4474600
68,2065710
69,2595103
70,1619742
71,1569571
72,1518171
73,1469581
74,1420231
75,1370622
76,1321323
77,1271707
78,1223400
79,1173984
80,1125746
81,1076873
82,1029233
83,980538.4
84,932761.3
85,884128.1
86,836664.7
87,788136.1
88,740595.2
89,691470.8
90,643674.7
91,593850.1
92,545373.9
93,494273.2
94,444508.1
95,388411.1
96,333692.6
97,278315.7
98,224463.1
99,110585.5
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
